full_name,unique_id,full_name,electoral_district,category_declaration,income_category,income_description,income_value,income_value_clean,taxes_value,property_category,property_description,property_location,property_date,property_legal,deposits_description,deposits_value,deposits_value_clean,other_financial_category,other_financial_description,other_financial_euros,other_financial_clean,vehicles_date,vehicles_description,other_nocat_description,other_nocat_value,debt_institution,debt_date,debt_amount,debt_amount_remain,debt_other,comments
ANA MARíA ORAMAS GONZÁLEZ-MORO,AnaMaríaOramasGonzález-Moro,ANA MARíA ORAMAS GONZÁLEZ-MORO,Santa Cruz de Tenerife,cantidad pagada por irpf,,,,,28930.47,,,,,,,,,,,,,,,,,,,,,,
ANA MARíA ORAMAS GONZÁLEZ-MORO,AnaMaríaOramasGonzález-Moro,ANA MARíA ORAMAS GONZÁLEZ-MORO,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,El vehículo fue vendido para adquirir uno nuevo. Información actualizada mediante declaración de fecha  21/04/21
ANA MARíA ORAMAS GONZÁLEZ-MORO,AnaMaríaOramasGonzález-Moro,ANA MARíA ORAMAS GONZÁLEZ-MORO,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"Se vendió el vehículo  Volkswagen Fox, matrícula FVS 9372 declarado con fecha 25/11/19 para adquirir este."
ANA MARíA ORAMAS GONZÁLEZ-MORO,AnaMaríaOramasGonzález-Moro,ANA MARíA ORAMAS GONZÁLEZ-MORO,,vehiculos,,,,,,,,,,,,,,,,,,1998,"Vehículo Volkswagen Fox, matrícula FVS 9372",,,,,,,,
ANA MARíA ORAMAS GONZÁLEZ-MORO,AnaMaríaOramasGonzález-Moro,ANA MARíA ORAMAS GONZÁLEZ-MORO,,vehiculos,,,,,,,,,,,,,,,,,,,"Vehículo Hyundai i20 de segunda mano, matrícula 3492 KPB",,,,,,,,
ANA MARÍA PASTOR JULIÁN,AnaMaríaPastorJulián,ANA MARÍA PASTOR JULIÁN,MADRID,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,El vehiculo BMW X3 3.0  que constaba en la declaración incial ya no es de su titularidad
ANA MARÍA PASTOR JULIÁN,AnaMaríaPastorJulián,ANA MARÍA PASTOR JULIÁN,,vehiculos,,,,,,,,,,,,,,,,,,,Lexus NX300 EXECUTIVE NAVIGATION (50% del declarante),,,,,,,,
ANA PRIETO NIETO,AnaPrietoNieto,ANA PRIETO NIETO,LUGO,bienes patrimoniales,,,,,,Bienes de naturaleza urbana,"Finca urbana, vivienda, piso",Granada,2021,Compraventa propietaria 100%,,,,,,,,,,,,,,,,,
ANA PRIETO NIETO,AnaPrietoNieto,ANA PRIETO NIETO,,cantidad pagada por irpf,,,,,67451,,,,,,,,,,,,,,,,,,,,,,
ANA PRIETO NIETO,AnaPrietoNieto,ANA PRIETO NIETO,,dueda,,,,,,,,,,,,,,,,,,,,,,Prestamo relativo a la compra venta piso,44531,"1350,00",,,
ANA PRIETO NIETO,AnaPrietoNieto,ANA PRIETO NIETO,,dueda,,,,,,,,,,,,,,,,,,,,,,Prestamo relativo a la compra vehiculo Mercedes GLC 220d,44743,38200,,,
ANA PRIETO NIETO,AnaPrietoNieto,ANA PRIETO NIETO,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adquisicion de un vehiculo y de una vivienda. Ya no dispone del vehiculo volvo XC70, fue entragado en la compra del Mercedes"
ANA PRIETO NIETO,AnaPrietoNieto,ANA PRIETO NIETO,,vehiculos,,,,,,,,,,,,,,,,,,2022,Mercedes GLC 220D,,,,,,,,
