,Gender,Group,GroupAbbr,Id,Legis,Link,LinkBienesPdf,Name
216,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,10141,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=10141,https://www.senado.es/legis14/senadores/regbi/DBR_384.pdf,"NAVARRO GARZÓN, MICAELA"
217,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19746,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19746,https://www.senado.es/legis14/senadores/regbi/DBR_145610.pdf,"NÚÑEZ FEIJÓO, ALBERTO"
218,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18301,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18301,https://www.senado.es/legis14/senadores/regbi/DBR_526.pdf,"OLEAGA ZALVIDEA, JOSÉ MARÍA"
219,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,16993,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=16993,https://www.senado.es/legis14/senadores/regbi/DBR_160859.pdf,"ORTEGA FERNÁNDEZ, FÉLIX"
220,M,GRUPO PARLAMENTARIO VASCO EN EL SENADO (EAJ-PNV),GPV,18070,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18070,https://www.senado.es/legis14/senadores/regbi/DBR_731.pdf,"OTAOLA URQUIJO, ALMUDENA"
221,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,19186,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19186,https://www.senado.es/legis14/senadores/regbi/DBR_1185.pdf,"OTERO GARCÍA, MARÍA MERCEDES"
222,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18237,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18237,https://www.senado.es/legis14/senadores/regbi/DBR_1144.pdf,"PABLO DÁVILA, MARÍA VICTORIA DE"
223,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18345,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18345,https://www.senado.es/legis14/senadores/regbi/DBR_177151.pdf,"PALACÍN GUARNÉ, GONZALO"
224,M,GRUPO PARLAMENTARIO NACIONALISTA EN EL SENADO JUNTS PER CATALUNYA-COALICIÓN CANARIA/PARTIDO NACIONALISTA CANARIO,GPN,17706,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17706,,"PASCAL CAPDEVILA, MARTA"
225,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,17157,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17157,https://www.senado.es/legis14/senadores/regbi/DBR_355.pdf,"PEDROSA ROLDÁN, MARÍA ADELAIDA"
226,M,GRUPO PARLAMENTARIO VASCO EN EL SENADO (EAJ-PNV),GPV,18071,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18071,https://www.senado.es/legis14/senadores/regbi/DBR_719.pdf,"PERAL DÍEZ, MARÍA ROSA"
227,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19053,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19053,https://www.senado.es/legis14/senadores/regbi/DBR_402.pdf,"PÉREZ CORONADO, PABLO"
228,M,GRUPO PARLAMENTARIO ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU,GPERB,17357,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17357,https://www.senado.es/legis14/senadores/regbi/DBR_179694.pdf,"PÉREZ ESTEVE, ELISENDA"
229,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,10200,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=10200,https://www.senado.es/legis14/senadores/regbi/DBR_88475.pdf,"PÉREZ GARCÍA, SANTIAGO"
230,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19086,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19086,https://www.senado.es/legis14/senadores/regbi/DBR_1111.pdf,"PÉREZ SICILIA, BORJA"
231,V,GRUPO PARLAMENTARIO ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU,GPERB,17327,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17327,https://www.senado.es/legis14/senadores/regbi/DBR_987.pdf,"PICORNELL GRENZNER, BERNAT"
232,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18236,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18236,https://www.senado.es/legis14/senadores/regbi/DBR_950.pdf,"PLAZA GARCÍA, INÉS MARÍA"
233,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19090,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19090,https://www.senado.es/legis14/senadores/regbi/DBR_1071.pdf,"PLAZA MARTÍN, LUIS ALBERTO"
234,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,16989,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=16989,https://www.senado.es/legis14/senadores/regbi/DBR_575.pdf,"POBO SÁNCHEZ, MARÍA CARMEN ISABEL"
235,M,"GRUPO PARLAMENTARIO DEMOCRÁTICO (CIUDADANOS, AGRUPACIÓN DE ELECTORES ",GPD,19326,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19326,https://www.senado.es/legis14/senadores/regbi/DBR_40265.pdf,"PONCE GALLARDO, MARÍA"
