unique_id,full_name,first_name,last_name,party,political_group,political_group_IW,gender,congress_page
Antoniohurtadozurera,Antonio  Hurtado Zurera, Antonio  ,Hurtado Zurera,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=372&idLegislatura=14
Antoniosalváverd,Antonio  Salvá Verd, Antonio  ,Salvá Verd,VOX,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=162&idLegislatura=14
Ariagonagonzálezpérez,Ariagona  González Pérez, Ariagona  ,González Pérez,PSOE,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=164&idLegislatura=14
Arnauramírezcarner,Arnau  Ramírez Carner, Arnau  ,Ramírez Carner,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=197&idLegislatura=14
Aureliozapatasimón,Aurelio Zapata Simón,Aurelio,Zapata Simón    ,PSOE,GPS ,GP. Socialista,M,#N/A
Beatrizisabelálvarezfanjul,Beatriz  Álvarez Fanjul, Beatriz  ,Álvarez Fanjul,PP,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=101&idLegislatura=14
Beatrizjiménezlinuesa,Beatriz  Jiménez Linuesa, Beatriz  ,Jiménez Linuesa,PP,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=206&idLegislatura=14
Beatrizmicaelacarrillodelosreyes,Beatriz Micaela  Carrillo De Los Reyes, Beatriz Micaela  ,Carrillo de los Reyes,PSOE,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=280&idLegislatura=14
Begoñanasarreoliva,Begoña  Nasarre Oliva, Begoña  ,Nasarre Oliva,PSOE,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=313&idLegislatura=14
Belénhoyojuliá,Belén  Hoyo Juliá, Belén  ,Hoyo Juliá,PP,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=141&idLegislatura=14
Carlatoscanodebalbín,Carla  Toscano De Balbín, Carla  ,Toscano de Balbín,VOX,GPVOX ,GP. VOX,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=296&idLegislatura=14
Carlosaragonésmendiguchía,Carlos  Aragonés Mendiguchía, Carlos  ,Aragonés Mendiguchía,PP,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=232&idLegislatura=14
Carlosjosézambranogarcía-Raez,Carlos José  Zambrano García-Raez, Carlos José  ,Zambrano García-Raez,UPN/Mx,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=254&idLegislatura=14
Carlosrojasgarcía,Carlos  Rojas García, Carlos  ,Rojas García,VOX,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=242&idLegislatura=14
