unique_id,full_name,first_name,last_name,political_group,gender,congress_page
CarmenCalvoPoyato,Carmen  Calvo Poyato, Carmen  ,Calvo Poyato,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=258&idLegislatura=14
PabloCambroneroPiqueras,Pablo  Cambronero Piqueras, Pablo  ,Cambronero Piqueras,GCs ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=58&idLegislatura=14
ConcepCañadellSalvia,Concep  Cañadell Salvia, Concep  ,Cañadell Salvia,GPlu ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=21&idLegislatura=14
MarianadeGraciaCanalesDuque,Mariana De Gracia  Canales Duque, Mariana de Gracia  ,Canales Duque,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=3&idLegislatura=14
PilarCancelaRodríguez,Pilar  Cancela Rodríguez, Pilar  ,Cancela Rodríguez,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=292&idLegislatura=14
InésMaríaCañizaresPacheco,Inés María  Cañizares Pacheco, Inés María  ,Cañizares Pacheco,GVOX ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=152&idLegislatura=14
ZaidaCanteradeCastro,Zaida  Cantera De Castro, Zaida  ,Cantera de Castro,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=38&idLegislatura=14
JoanCapdevilaiEsteve,Joan  Capdevila I Esteve, Joan  ,Capdevila i Esteve,GR ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=172&idLegislatura=14
EduardoCarazoHermoso,Eduardo  Carazo Hermoso, Eduardo  ,Carazo Hermoso,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=245&idLegislatura=14
MaríaLuisaCarcedoRoces,María Luisa  Carcedo Roces, María Luisa  ,Carcedo Roces,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=270&idLegislatura=14
BeatrizMicaelaCarrillodelosReyes,Beatriz Micaela  Carrillo De Los Reyes, Beatriz Micaela  ,Carrillo de los Reyes,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=280&idLegislatura=14
MaríaCarvalhoDantas,María  Carvalho Dantas, María  ,Carvalho Dantas,GR ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=190&idLegislatura=14
PabloCasadoBlanco,Pablo  Casado Blanco, Pablo  ,Casado Blanco,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=307&idLegislatura=14
PedroCasaresHontañón,Pedro  Casares Hontañón, Pedro  ,Casares Hontañón,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=347&idLegislatura=14
AlbertoCaseroÁvila,Alberto  Casero Ávila, Alberto  ,Casero Ávila,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=283&idLegislatura=14
MiguelÁngelCastellónRubio,Miguel Ángel  Castellón Rubio, Miguel Ángel  ,Castellón Rubio,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=74&idLegislatura=14
ElenaCastilloLópez,Elena  Castillo López, Elena  ,Castillo López,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=77&idLegislatura=14
SantosCerdánLeón,Santos  Cerdán León, Santos  ,Cerdán León,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=163&idLegislatura=14
JavierCerqueiroGonzález,Javier  Cerqueiro González, Javier  ,Cerqueiro González,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=47&idLegislatura=14
RicardoChamorroDelmo,Ricardo  Chamorro Delmo, Ricardo  ,Chamorro Delmo,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=125&idLegislatura=14
ÓscarClavellLópez,Óscar  Clavell López, Óscar  ,Clavell López,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=108&idLegislatura=14
FranciscoJoséContrerasPeláez,Francisco José  Contreras Peláez, Francisco José  ,Contreras Peláez,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=229&idLegislatura=14
MarioCortésCarballo,Mario  Cortés Carballo, Mario  ,Cortés Carballo,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=317&idLegislatura=14
IsmaelCortésGómez,Ismael  Cortés Gómez, Ismael  ,Cortés Gómez,GCUP-EC-GC ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=350&idLegislatura=14
RafaelaCrespínRubio,Rafaela  Crespín Rubio, Rafaela  ,Crespín Rubio,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=107&idLegislatura=14
MaríaSoledadCruz-GuzmánGarcía,María Soledad  Cruz-Guzmán García, María Soledad  ,Cruz-Guzmán García,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=159&idLegislatura=14
JuanCuatrecasasAsua,Juan  Cuatrecasas Asua, Juan  ,Cuatrecasas Asua,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=303&idLegislatura=14
