unique_id,full_name,first_name,last_name,political_group,political_group_IW,gender,congress_page
Maríaguijarroceballos,María  Guijarro Ceballos, María  ,Guijarro Ceballos,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=136&idLegislatura=14
Txemaguijarrogarcía,Txema  Guijarro García, Txema  ,Guijarro García,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=344&idLegislatura=14
Lídiaguinartmoreno,Lídia  Guinart Moreno, Lídia  ,Guinart Moreno,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=202&idLegislatura=14
Tomásguitartegimeno,Tomás  Guitarte Gimeno, Tomás  ,Guitarte Gimeno,GPMX,GP. Mixto,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=306&idLegislatura=14
Fernandoadolfogutiérrezdíazdeotazu,Fernando Adolfo  Gutiérrez Díaz De Otazu, Fernando Adolfo  ,Gutiérrez Díaz de Otazu,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=149&idLegislatura=14
Sergiogutiérrezprieto,Sergio  Gutiérrez Prieto, Sergio  ,Gutiérrez Prieto,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=180&idLegislatura=14
Indaleciogutiérrezsalinas,Indalecio  Gutiérrez Salinas, Indalecio  ,Gutiérrez Salinas,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=358&idLegislatura=14
Sofíahernanzcosta,Sofía  Hernanz Costa, Sofía  ,Hernanz Costa,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=289&idLegislatura=14
Joséalbertoherrerobono,José Alberto  Herrero Bono, José Alberto  ,Herrero Bono,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=239&idLegislatura=14
Pablohispániglesiasdeussel,Pablo  Hispán Iglesias De Ussel, Pablo  ,Hispán Iglesias de Ussel,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=309&idLegislatura=14
Pedroantoniohonrubiahurtado,Pedro Antonio  Honrubia Hurtado, Pedro Antonio  ,Honrubia Hurtado,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=68&idLegislatura=14
Belénhoyojuliá,Belén  Hoyo Juliá, Belén  ,Hoyo Juliá,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=141&idLegislatura=14
Antoniohurtadozurera,Antonio  Hurtado Zurera, Antonio  ,Hurtado Zurera,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=372&idLegislatura=14
Pabloiglesiasturrión,Pablo  Iglesias Turrión, Pablo  ,Iglesias Turrión,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=319&idLegislatura=14
Marionaillamoladausà,Mariona  Illamola Dausà, Mariona  ,Illamola Dausà,GPPlu ,GP. Plural,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=22&idLegislatura=14
Joniñarritugarcía,Jon  Iñarritu García, Jon  ,Iñarritu García,GPEHB,GP. Euskal Herria Bildu,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=62&idLegislatura=14
Miguelángeljerezjuan,Miguel Ángel  Jerez Juan, Miguel Ángel  ,Jerez Juan,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=124&idLegislatura=14
Beatrizjiménezlinuesa,Beatriz  Jiménez Linuesa, Beatriz  ,Jiménez Linuesa,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=206&idLegislatura=14
Rodrigojiménezrevuelta,Rodrigo  Jiménez Revuelta, Rodrigo  ,Jiménez Revuelta,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=165&idLegislatura=14
Maríateresajiménez-Becerrilbarrio,María Teresa  Jiménez-Becerril Barrio, María Teresa  ,Jiménez-Becerril Barrio,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=179&idLegislatura=14
Rafaeljosévélez,Rafael  José Vélez, Rafael  ,José Vélez,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=361&idLegislatura=14
Antoniajoverdíaz,Antonia  Jover Díaz, Antonia  ,Jover Díaz,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=334&idLegislatura=14
Marclamuàestañol,Marc  Lamuà Estañol, Marc  ,Lamuà Estañol,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=200&idLegislatura=14
Adrianalastrafernández,Adriana  Lastra Fernández, Adriana  ,Lastra Fernández,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=109&idLegislatura=14
Isauralealfernández,Isaura  Leal Fernández, Isaura  ,Leal Fernández,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=352&idLegislatura=14
Sebastiánjesúsledesmamartín,Sebastián Jesús  Ledesma Martín, Sebastián Jesús  ,Ledesma Martín,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=110&idLegislatura=14
Mikellegardauriarte,Mikel  Legarda Uriarte, Mikel  ,Legarda Uriarte,GPV (EAJ-PNV),GP. Vasco (EAJ-PNV),M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=95&idLegislatura=14
Fuensantalimacid,Fuensanta  Lima Cid, Fuensanta  ,Lima Cid,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=59&idLegislatura=14
Maríateresalópezálvarez,María Teresa  López Álvarez, María Teresa  ,López Álvarez,GPVOX ,GP. VOX,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=327&idLegislatura=14
Patxilópezálvarez,Patxi  López Álvarez, Patxi  ,López Álvarez,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=61&idLegislatura=14
Ignaciolópezcano,Ignacio  López Cano, Ignacio  ,López Cano,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=343&idLegislatura=14
Juanantoniolópezdeuraldegarmendia,Juan Antonio  López De Uralde Garmendia, Juan Antonio  ,López de Uralde Garmendia,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=205&idLegislatura=14
Lauralópezdomínguez,Laura  López Domínguez, Laura  ,López Domínguez,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=263&idLegislatura=14
Ángellópezmaraver,Ángel  López Maraver, Ángel  ,López Maraver,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=311&idLegislatura=14
Gemalópezsomoza,Gema  López Somoza, Gema  ,López Somoza,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=363&idLegislatura=14
Cristinalópezzamora,Cristina  López Zamora, Cristina  ,López Zamora,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=224&idLegislatura=14
Andrésloritelorite,Andrés  Lorite Lorite, Andrés  ,Lorite Lorite,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=105&idLegislatura=14
Josélosadafernández,José  Losada Fernández, José  ,Losada Fernández,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=353&idLegislatura=14
Rosermaestromoliner,Roser  Maestro Moliner, Roser  ,Maestro Moliner,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=282&idLegislatura=14
Rubénsilvanomansoolivar,Rubén Silvano  Manso Olivar, Rubén Silvano  ,Manso Olivar,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=119&idLegislatura=14
Pilarmarcosdomínguez,Pilar  Marcos Domínguez, Pilar  ,Marcos Domínguez,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=143&idLegislatura=14
Milagrosmarcosortega,Milagros  Marcos Ortega, Milagros  ,Marcos Ortega,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=92&idLegislatura=14
Joanmargallsastre,Joan  Margall Sastre, Joan  ,Margall Sastre,GPR ,GP. Republicano,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=193&idLegislatura=14
Paumaríklose,Pau  Marí Klose, Pau  ,Marí Klose,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=73&idLegislatura=14
Guillermomariscalanaya,Guillermo  Mariscal Anaya, Guillermo  ,Mariscal Anaya,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=339&idLegislatura=14
Manuelmariscalzabala,Manuel  Mariscal Zabala, Manuel  ,Mariscal Zabala,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=153&idLegislatura=14
Maríamárquezguerrero,María  Márquez Guerrero, María  ,Márquez Guerrero,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=236&idLegislatura=14
Maríaángelesmarradomínguez,María Ángeles  Marra Domínguez, María Ángeles  ,Marra Domínguez,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=46&idLegislatura=14
Martamartínllaguno,Marta  Martín Llaguno, Marta  ,Martín Llaguno,GPCs ,GP. Ciudadanos,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=155&idLegislatura=14
Maríavalentinamartínezferro,María Valentina  Martínez Ferro, María Valentina  ,Martínez Ferro,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=341&idLegislatura=14
Maríacarmenmartínezgranados,María Carmen  Martínez Granados, María Carmen  ,Martínez Granados,GPCs ,GP. Ciudadanos,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=60&idLegislatura=14
Isidromanuelmartínezoblanca,Isidro Manuel  Martínez Oblanca, Isidro Manuel  ,Martínez Oblanca,GPMX,GP. Mixto,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=20&idLegislatura=14
Maríaluzmartínezseijo,María Luz  Martínez Seijo, María Luz  ,Martínez Seijo,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=251&idLegislatura=14
Juanjosématarísáez,Juan José  Matarí Sáez, Juan José  ,Matarí Sáez,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=48&idLegislatura=14
Jaimemiguelmateuistúriz,Jaime Miguel  Mateu Istúriz, Jaime Miguel  ,Mateu Istúriz,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=133&idLegislatura=14
Oskarmatutegarcíadejalón,Oskar  Matute García De Jalón, Oskar  ,Matute García de Jalón,GPEHB,GP. Euskal Herria Bildu,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=63&idLegislatura=14
Rafaelmayoralperales,Rafael  Mayoral Perales, Rafael  ,Mayoral Perales,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=336&idLegislatura=14
Josémaríamazónramos,José María  Mazón Ramos, José María  ,Mazón Ramos,GPMX,GP. Mixto,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=349&idLegislatura=14
